Names StudentID College profession Score1 Score2 Score3 Score4 TotalScore
liang 1733001 Computer_Science_and_Technology Computer_Science 80 92 91 87 350
lu 1733002 Computer_Science_and_Technology Computer_Science 80 91 90 95 356
jiang 1733003 Computer_Science_and_Technology Computer_Science 80 90 89 87 346
gan 1733004 Computer_Science_and_Technology Computer_Science 80 89 88 88 345
zhang 1733005 Computer_Science_and_Technology Computer_Science 80 88 95 89 352
huang 1733006 Computer_Science_and_Technology Computer_Science 80 84 87 90 341
ze 1733007 Computer_Science_and_Technology Computer_Science 81 84 88 91 344
guo 1733008 Computer_Science_and_Technology Computer_Science 81 84 89 92 346
jun 1733009 Computer_Science_and_Technology Computer_Science 81 93 90 82 346
jia 1733010 Computer_Science_and_Technology Computer_Science 81 92 91 83 347
nan 1733011 Computer_Science_and_Technology Computer_Science 81 91 92 84 348
jing 1733012 Computer_Science_and_Technology Computer_Science 82 90 82 85 339
xie 1733013 Computer_Science_and_Technology Computer_Science 83 89 83 86 341
lei 1733014 Computer_Science_and_Technology Computer_Science 84 88 84 87 343
sang 1733015 Computer_Science_and_Technology Computer_Science 85 95 85 95 360
ban 1733016 Computer_Science_and_Technology Computer_Science 86 92 86 87 351
li 1733017 Computer_Science_and_Technology Computer_Science 87 91 87 88 353
ting 1733018 Computer_Science_and_Technology Computer_Science 88 90 87 89 354
zhong 1733019 Computer_Science_and_Technology Computer_Science 89 89 88 90 356
shu 1733020 Computer_Science_and_Technology Computer_Science 90 88 89 91 358
su 1733021 Computer_Science_and_Technology Computer_Science 91 84 90 92 357
xin 1733022 Computer_Science_and_Technology Computer_Science 92 84 91 82 349
yue 1733023 Computer_Science_and_Technology Computer_Science 82 84 92 83 341
xing 1733024 Computer_Science_and_Technology Computer_Science 83 93 82 84 342
que 1733025 Computer_Science_and_Technology Computer_Science 84 92 83 85 344
ding 1733026 Computer_Science_and_Technology Computer_Science 85 91 84 86 346
ma 1733027 Computer_Science_and_Technology Computer_Science 86 90 85 87 348
hao 1733028 Computer_Science_and_Technology Computer_Science 87 89 86 95 357
de 1733029 Computer_Science_and_Technology Computer_Science 88 88 87 87 350
liu 1733030 Computer_Science_and_Technology Computer_Science 89 95 87 88 359
ze 1733031 Computer_Science_and_Technology Computer_Science 90 92 88 89 359
cao 1733032 Computer_Science_and_Technology Computer_Science 91 91 89 90 361
chao 1733033 Computer_Science_and_Technology Computer_Technology 92 90 90 91 363
guan 1733034 Computer_Science_and_Technology Computer_Technology 92 89 91 92 364
xi 1733035 Computer_Science_and_Technology Computer_Technology 92 88 92 82 354
mei 1733036 Computer_Science_and_Technology Computer_Technology 92 84 82 83 341
le 1733037 Computer_Science_and_Technology Computer_Technology 92 84 83 84 343
na 1733038 Computer_Science_and_Technology Computer_Technology 92 84 84 85 345
jiu 1733039 Computer_Science_and_Technology Computer_Technology 92 93 85 86 356
zhe 1733040 Computer_Science_and_Technology Computer_Technology 92 92 86 87 357
yang 1733041 Computer_Science_and_Technology Computer_Technology 92 91 87 95 365
ba 1733042 Computer_Science_and_Technology Computer_Technology 92 90 87 87 356
ni 1733043 Computer_Science_and_Technology Computer_Technology 92 89 88 88 357
wo 1733044 Computer_Science_and_Technology Computer_Technology 84 88 89 89 350
shi 1733045 Computer_Science_and_Technology Computer_Technology 84 95 90 90 359
suo 1733046 Computer_Science_and_Technology Computer_Technology 84 92 91 91 358
you 1733047 Computer_Science_and_Technology Computer_Technology 84 91 92 92 359
